Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19261119,0.47,-1.67,-0.74,-0.9,-0.62,-0.34,-0.48,-0.56,-0.47,-0.68
19261120,0.62,0.08,0.33,0.35,0.4,0.27,1.24,2.12,0.4,0.31
19261122,0.14,0.51,1.11,1.05,0.53,0.18,0.7,-1,0.83,0.15
19261123,0.99,0.97,-0.03,0.23,0.35,0.14,0.04,-0.03,0.43,0.31
19261124,-0.24,-0.3,0.48,-0.07,0.12,0.28,-0.53,0.41,0.28,0.31
19261126,0.63,0.12,0.52,-0.62,1,0.05,0.46,0.24,0.07,0.13
19261127,-0.27,0.04,-0.11,0.05,-0.45,-0.16,-0.14,0.44,-0.01,-0.26
19261129,-0.63,-0.74,-0.67,-0.04,-0.17,0.09,-0.8,0.58,-0.11,-0.19
19261130,0.68,0.75,0,0.37,1.03,0,-0.16,-0.63,0.21,0.08
19261201,-0.13,0.33,0.6,1.01,0.04,-0.07,0.63,0.53,0.05,0.13
19261202,0.26,0.73,0.71,1.01,0.03,0.4,0.45,-0.22,-0.21,0.53
19261203,-0.12,2.24,0.46,-0.19,-0.27,0.23,0.38,0.19,0.8,0.12
19261204,-0.11,-0.12,-0.12,-0.35,0.1,0.06,-0.21,-0.4,-0.41,-0.19
19261206,0.53,-0.06,0.07,0,0.2,0,0.37,0.17,-0.25,-0.15
19261207,0.02,0.65,0.01,-0.47,-0.57,-0.12,0.27,0.32,-0.23,0.14
19261208,-0.38,0.25,-0.11,-0.26,-0.27,-0.08,-0.58,0.14,0.49,0.16
19261209,0.17,0.72,0.46,0.01,0.73,0.07,0.25,-0.22,0.24,0.9
19261210,0.38,0.43,0.33,0.19,-0.12,-0.01,0.79,0.05,0.12,0.71
19261211,-0.01,0.15,0.25,0.02,-0.12,0.07,0.14,0.04,0.47,0.05
19261213,0.27,2.25,0.37,0.47,0.36,-0.09,0.5,0.11,-0.08,0.2
