Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-Rf
201104,0.0459,0.0222,0.0299,0.013,0.0313,0.0341,0.0453,0.0638,0.0399,0.0111,-0.0252
201105,0.0193,-0.0354,-0.0215,-0.0456,-0.0169,0.0077,0.0083,0.0197,0.013,-0.0238,-0.0208
201106,-0.0101,-0.0123,-0.0059,-0.0249,-0.0234,-0.0124,-0.0089,-0.0183,-0.0034,-0.0206,-0.0032
201107,-0.0043,-0.0891,-0.047,0.0051,-0.0034,-0.0503,-0.0068,-0.0365,-0.0035,-0.0376,-0.0121
201108,-0.0068,-0.12,-0.0609,-0.1011,-0.069,-0.0545,-0.0288,-0.031,0.0014,-0.0759,-0.0248
201109,-0.0486,-0.1411,-0.1103,-0.1247,-0.0486,-0.0594,-0.0389,-0.0396,-0.0163,-0.1029,-0.0141
201110,0.0645,0.232,0.1407,0.1645,0.119,0.0772,0.0978,0.0553,0.0668,0.133,-0.0018
201111,0.014,-0.0801,0.014,0.0166,-0.0201,0.0005,0.011,0.0127,0.0099,-0.016,-0.0034
201112,0.0188,-0.0116,-0.008,-0.0059,-0.0146,0.032,0.0087,0.0353,0.0295,0.0107,0.0177
201201,0.0044,0.1351,0.0674,0.0139,0.0817,0.0231,0.0404,0.0339,-0.0271,0.0676,-0.0113
201202,0.0397,0.0602,0.0383,0.0656,0.0671,0.05,0.0319,0.0123,0.0125,0.0387,0.0008
201203,0.0391,0.0092,0.007,-0.0326,0.0469,0.0252,0.0461,0.0396,0.0144,0.0476,0.0092
201204,0.0082,-0.0698,-0.0068,-0.0171,-0.0209,0.0162,0.01,0.0062,0.0174,-0.0169,-0.0048
201205,-0.0265,-0.0815,-0.0779,-0.1073,-0.0787,-0.0105,-0.0309,-0.0329,-0.0093,-0.0719,-0.0059
201206,0.0334,-0.0551,0.0122,0.0585,0.0285,0.0704,0.0211,0.068,0.034,0.0475,0.0044
201207,0.0137,0.003,0.0088,0.0274,-0.0054,0.0407,0.0126,0.0165,0.0373,-0.01,-0.0027
